case,h,candidate_basis,status,error_message,candidate_kind,fit_scope,active_stage_rows,training_sample_count,basis_row_count,compression_row_count,source_consistency_rows,velocity_stage_rows,active_velocity_rows,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,basis_condition,target_jacobian_norm,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,fit_residual_norm,fit_relative_residual,value_residual_norm,value_relative_residual,coefficient_rank,coefficient_condition,coefficient_norm,max_abs_coefficient,coefficient_summary,final_stage_selector_distance_norm,final_stage_selector_relative_distance,nonfinal_stage_energy_fraction,stage0_energy_fraction,stage1_energy_fraction,stage2_energy_fraction,degenerates_to_final_stage_selector,meaningful_nonfinal_energy,basis_value_norm,compressed_value_norm,velocity_basis_value_norm,target_bridge_value_norm,terminal_velocity_norm,residual_norm,min_jacobian_rank,row_span_reproduces_terminal_bridge,velocity_compression_spans_target,value_level_balance_ok,endpoint_boundary_source_removed,target_terminal_boundary_row_used,terminal_row_replacement_used,projection_used,base_projection_relative_residual,oracle_projection_relative_residual,gradient_cap,required_coefficient_gradient_fro_norm,max_required_row_gradient_norm,cap_to_required_gradient_ratio,applied_derivative_fraction,derivative_correction_norm,applied_derivative_correction_norm,bounded_formula_present,bounded_gradient_cap_spans_target,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,next_repair_target,notes
cylindrical_smooth,0.04,case_local_bounded_gradient_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_gradient_cap_gap_not_full_tfe,,case_local_bounded_gradient_nonfinal_stage_scalar_value_fit,case_local_bounded_gradient_cap_sweep,"0,1",1,24,8,16,24,16,8,132,24,32,8,1.7758709418338032e+10,3.7127280938507345e-01,3.6460859381803423e-01,9.8205035381374428e-01,9.9958717311498269e-01,9.4654885591122195e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,1.0000000000000000e+04,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672547e-13,1.4035606200672547e-13,3.6464473006524034e-01,5.1180098343462538e-14,False,False,False,False,This bounded-gradient cap is insufficient to reproduce the local derivative-aware tangent span.,derive a bounded analytic derivative-aware coefficient-gradient formula and rerun the nonlinear h-sweep,"The row scales the local derivative-aware correction by min(1, cap/required_gradient_norm), so it is an optimistic cap-feasibility audit for bounded coefficient gradients."
cylindrical_smooth,0.04,case_local_bounded_gradient_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_gradient_cap_gap_not_full_tfe,,case_local_bounded_gradient_nonfinal_stage_scalar_value_fit,case_local_bounded_gradient_cap_sweep,"0,1",1,24,8,16,24,16,8,132,24,32,8,1.7755746837267899e+10,3.7127280938507345e-01,3.6458781537524254e-01,9.8199438838275543e-01,9.9957193956528156e-01,9.4640346435059586e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,1.0000000000000000e+06,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672549e-11,1.4035606200672549e-11,3.6464473006524034e-01,5.1180098343462546e-12,False,False,False,False,This bounded-gradient cap is insufficient to reproduce the local derivative-aware tangent span.,derive a bounded analytic derivative-aware coefficient-gradient formula and rerun the nonlinear h-sweep,"The row scales the local derivative-aware correction by min(1, cap/required_gradient_norm), so it is an optimistic cap-feasibility audit for bounded coefficient gradients."
cylindrical_smooth,0.04,case_local_bounded_gradient_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_gradient_cap_gap_not_full_tfe,,case_local_bounded_gradient_nonfinal_stage_scalar_value_fit,case_local_bounded_gradient_cap_sweep,"0,1",1,24,8,16,24,16,8,132,24,32,8,1.5455177072687618e+10,3.7127280938507345e-01,3.2097457830068221e-01,8.6452487278101919e-01,8.8143112177336558e-01,8.2657605534566181e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,1.0000000000000000e+08,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672549e-09,1.4035606200672549e-09,3.6464473006524034e-01,5.1180098343462549e-10,False,False,False,False,This bounded-gradient cap is insufficient to reproduce the local derivative-aware tangent span.,derive a bounded analytic derivative-aware coefficient-gradient formula and rerun the nonlinear h-sweep,"The row scales the local derivative-aware correction by min(1, cap/required_gradient_norm), so it is an optimistic cap-feasibility audit for bounded coefficient gradients."
cylindrical_smooth,0.04,case_local_bounded_gradient_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_gradient_cap_gap_not_full_tfe,,case_local_bounded_gradient_nonfinal_stage_scalar_value_fit,case_local_bounded_gradient_cap_sweep,"0,1",1,24,8,16,24,16,8,132,24,32,8,3.3008485660281223e+08,3.7127280938507345e-01,6.8707542703098081e-03,1.8505945215028283e-02,1.8692201402923964e-02,1.7795753790966748e-02,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,1.0000000000000000e+10,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672547e-07,1.4035606200672547e-07,3.6464473006524034e-01,5.1180098343462547e-08,False,False,False,False,This bounded-gradient cap is insufficient to reproduce the local derivative-aware tangent span.,derive a bounded analytic derivative-aware coefficient-gradient formula and rerun the nonlinear h-sweep,"The row scales the local derivative-aware correction by min(1, cap/required_gradient_norm), so it is an optimistic cap-feasibility audit for bounded coefficient gradients."
cylindrical_smooth,0.04,case_local_bounded_gradient_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_gradient_cap_gap_not_full_tfe,,case_local_bounded_gradient_nonfinal_stage_scalar_value_fit,case_local_bounded_gradient_cap_sweep,"0,1",1,24,8,16,24,16,8,132,24,32,8,3.3031160989282685e+06,3.7127280938507345e-01,6.8729655390163146e-05,1.8511901128444536e-04,1.8695278119622511e-04,1.7807212537804804e-04,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,1.0000000000000000e+12,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672549e-05,1.4035606200672549e-05,3.6464473006524034e-01,5.1180098343462551e-06,False,False,False,False,This bounded-gradient cap is insufficient to reproduce the local derivative-aware tangent span.,derive a bounded analytic derivative-aware coefficient-gradient formula and rerun the nonlinear h-sweep,"The row scales the local derivative-aware correction by min(1, cap/required_gradient_norm), so it is an optimistic cap-feasibility audit for bounded coefficient gradients."
cylindrical_smooth,0.04,case_local_bounded_gradient_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_gradient_cap_gap_not_full_tfe,,case_local_bounded_gradient_nonfinal_stage_scalar_value_fit,case_local_bounded_gradient_cap_sweep,"0,1",1,24,8,16,24,16,8,132,24,32,8,3.3031331226862341e+04,3.7127280938507345e-01,6.8634262108614507e-07,1.8486207547030203e-06,1.8669301200477452e-06,1.7782554365621117e-06,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,1.0000000000000000e+14,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672548e-03,1.4035606200672548e-03,3.6464473006524034e-01,5.1180098343462548e-04,False,False,False,False,This bounded-gradient cap is insufficient to reproduce the local derivative-aware tangent span.,derive a bounded analytic derivative-aware coefficient-gradient formula and rerun the nonlinear h-sweep,"The row scales the local derivative-aware correction by min(1, cap/required_gradient_norm), so it is an optimistic cap-feasibility audit for bounded coefficient gradients."
cylindrical_smooth,0.04,case_local_bounded_gradient_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_gradient_cap_gap_not_full_tfe,,case_local_bounded_gradient_nonfinal_stage_scalar_value_fit,case_local_bounded_gradient_cap_sweep,"0,1",1,24,8,16,24,16,8,132,24,32,8,3.3031332923576321e+02,3.7127280938507345e-01,5.9083956207481633e-09,1.5913892618568105e-08,1.6071508946463090e-08,1.5308151715453684e-08,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,1.0000000000000000e+16,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672548e-01,1.4035606200672548e-01,3.6464473006524034e-01,5.1180098343462550e-02,False,False,False,False,This bounded-gradient cap is insufficient to reproduce the local derivative-aware tangent span.,derive a bounded analytic derivative-aware coefficient-gradient formula and rerun the nonlinear h-sweep,"The row scales the local derivative-aware correction by min(1, cap/required_gradient_norm), so it is an optimistic cap-feasibility audit for bounded coefficient gradients."
cylindrical_smooth,0.04,case_local_bounded_gradient_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_gradient_cap_spans_not_full_tfe,,case_local_bounded_gradient_nonfinal_stage_scalar_value_fit,case_local_bounded_gradient_cap_sweep,"0,1",1,24,8,16,24,16,8,132,24,24,0,4.6361478140540719e+01,3.7127280938507345e-01,1.6600062409245261e-15,4.4711225787687983e-15,9.0736567829061468e-15,7.2592634788752349e-16,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,True,True,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,1.0000000000000000e+18,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672548e+01,1.0000000000000000e+00,3.6464473006524034e-01,3.6464473006524034e-01,False,True,False,False,"This bounded-gradient cap reproduces the local derivative-aware span, but it is still a cap-scaled oracle rather than an analytic full-TFE residual or nonlinear h-sweep.",derive a bounded analytic derivative-aware coefficient-gradient formula and rerun the nonlinear h-sweep,"The row scales the local derivative-aware correction by min(1, cap/required_gradient_norm), so it is an optimistic cap-feasibility audit for bounded coefficient gradients."
cylindrical_smooth,0.04,universal_bounded_gradient_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_gradient_cap_gap_not_full_tfe,,universal_bounded_gradient_nonfinal_stage_scalar_value_fit,all_case_h_bounded_gradient_cap_sweep,"0,1",6,24,8,16,24,16,8,132,16,24,8,1.0453703707432651e+11,3.7127280938507345e-01,3.6460022072816028e-01,9.8202780142191193e-01,9.9958684396755371e-01,9.4646611908262746e-01,3.6464473007478193e-01,1.0000000000041940e+00,7.6071816433064978e-18,9.8678318590713610e-01,8,1.0000000000000000e+00,1.1432606374566444e-09,3.2352835765686957e-10,rank=8;fro=1.143261e-09;max_abs=3.235284e-10,2.8284271247461903e+00,1.0000000000000000e+00,1.0000000000000000e+00,8.0040924391222112e-01,5.9945395341082419e-01,0.0000000000000000e+00,False,True,4.9793461947214964e-16,1.0308435453341609e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8202502624559018e-01,3.2196221972557013e-15,1.0000000000000000e+04,7.1247367998831528e+16,5.4863606553239992e+16,1.4035606199746217e-13,1.4035606199746217e-13,3.6464473007478193e-01,5.1180098341423958e-14,False,False,False,False,This bounded-gradient cap is insufficient to reproduce the local derivative-aware tangent span.,derive a bounded analytic derivative-aware coefficient-gradient formula and rerun the nonlinear h-sweep,"The row scales the local derivative-aware correction by min(1, cap/required_gradient_norm), so it is an optimistic cap-feasibility audit for bounded coefficient gradients."
cylindrical_smooth,0.04,universal_bounded_gradient_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_gradient_cap_gap_not_full_tfe,,universal_bounded_gradient_nonfinal_stage_scalar_value_fit,all_case_h_bounded_gradient_cap_sweep,"0,1",6,24,8,16,24,16,8,132,16,24,8,1.0458983877445618e+11,3.7127280938507345e-01,3.6452573047298281e-01,9.8182716659680624e-01,9.9909775508169041e-01,9.4687485183895326e-01,3.6464473007478193e-01,1.0000000000041940e+00,7.6071816433064978e-18,9.8678318590713610e-01,8,1.0000000000000000e+00,1.1432606374566444e-09,3.2352835765686957e-10,rank=8;fro=1.143261e-09;max_abs=3.235284e-10,2.8284271247461903e+00,1.0000000000000000e+00,1.0000000000000000e+00,8.0040924391222112e-01,5.9945395341082419e-01,0.0000000000000000e+00,False,True,4.9793461947214964e-16,1.0308435453341609e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8202502624559018e-01,3.2196221972557013e-15,1.0000000000000000e+06,7.1247367998831528e+16,5.4863606553239992e+16,1.4035606199746216e-11,1.4035606199746216e-11,3.6464473007478193e-01,5.1180098341423950e-12,False,False,False,False,This bounded-gradient cap is insufficient to reproduce the local derivative-aware tangent span.,derive a bounded analytic derivative-aware coefficient-gradient formula and rerun the nonlinear h-sweep,"The row scales the local derivative-aware correction by min(1, cap/required_gradient_norm), so it is an optimistic cap-feasibility audit for bounded coefficient gradients."
