case,h,candidate_basis,status,error_message,candidate_kind,fit_scope,active_stage_rows,training_sample_count,basis_row_count,compression_row_count,source_consistency_rows,velocity_stage_rows,active_velocity_rows,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,basis_condition,target_jacobian_norm,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,fit_residual_norm,fit_relative_residual,value_residual_norm,value_relative_residual,coefficient_rank,coefficient_condition,coefficient_norm,max_abs_coefficient,coefficient_summary,final_stage_selector_distance_norm,final_stage_selector_relative_distance,nonfinal_stage_energy_fraction,stage0_energy_fraction,stage1_energy_fraction,stage2_energy_fraction,degenerates_to_final_stage_selector,meaningful_nonfinal_energy,basis_value_norm,compressed_value_norm,velocity_basis_value_norm,target_bridge_value_norm,terminal_velocity_norm,residual_norm,min_jacobian_rank,row_span_reproduces_terminal_bridge,velocity_compression_spans_target,value_level_balance_ok,endpoint_boundary_source_removed,target_terminal_boundary_row_used,terminal_row_replacement_used,projection_used,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,next_repair_target,notes
cylindrical_smooth,0.04,case_local_stage0_full_8x8,paper_tfe_lower_pair_velocity_compression_component_mixing_blocked_not_full_tfe,,case_local_nonfinal_stage0_full_component_mixing,case_local_nonfinal_full_component_mixing,0,1,24,8,16,24,8,8,132,23,31,8,3.2768632507338555e+12,3.7127280938507345e-01,3.6464298023089220e-01,9.8214297145766738e-01,9.9958844243570644e-01,9.4688437518386981e-01,3.6464298023089214e-01,9.9999520124050578e-01,9.0571079573805071e-11,1.1748637359215373e+07,7,2.8338783363430569e+05,1.0247204456440369e-02,7.0682260626649188e-03,rank=7;fro=1.024720e-02;max_abs=7.068226e-03,2.8284456871573780e+00,1.0000065628034129e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,False,True,9.0571080447723585e-11,9.0571080446354834e-11,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,False,False,Non-final full component mixing does not span the terminal-bridge local tangent.,derive a richer nonlinear value-level source-free compression,"This probe removes final-stage velocity rows from the active fit and allows full component mixing across the selected non-final stage rows. It is local tangent evidence, not an accepted h-sweep."
cylindrical_smooth,0.04,universal_stage0_full_8x8,paper_tfe_lower_pair_velocity_compression_component_mixing_blocked_not_full_tfe,,universal_nonfinal_stage0_full_component_mixing,all_case_h_nonfinal_full_component_mixing,0,6,24,8,16,24,8,8,132,23,31,8,9.9852838923728241e+10,3.7127280938507345e-01,3.6464298023089220e-01,9.8214297145766738e-01,9.9958844243570644e-01,9.4688437518386981e-01,3.6464343326746024e-01,9.9999644364586837e-01,4.4183832355880072e-11,5.7314081485204622e+06,8,1.8805338365463261e+07,5.0309173448238398e-03,3.4689129880038274e-03,rank=8;fro=5.030917e-03;max_abs=3.468913e-03,2.8284315989836721e+00,1.0000015818818320e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,False,True,4.4183833229755999e-11,4.4183833226950248e-11,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,False,False,Non-final full component mixing does not span the terminal-bridge local tangent.,derive a richer nonlinear value-level source-free compression,"This probe removes final-stage velocity rows from the active fit and allows full component mixing across the selected non-final stage rows. It is local tangent evidence, not an accepted h-sweep."
cylindrical_smooth,0.04,case_local_stage1_full_8x8,paper_tfe_lower_pair_velocity_compression_component_mixing_blocked_not_full_tfe,,case_local_nonfinal_stage1_full_component_mixing,case_local_nonfinal_full_component_mixing,1,1,24,8,16,24,8,8,132,23,31,8,5.9614119009488991e+10,3.7127280938507345e-01,3.6457333488255955e-01,9.8195538608493838e-01,9.9958586619705980e-01,9.4620774093975124e-01,3.6457333488255955e-01,9.9980420616341092e-01,7.7011577042882377e-10,9.9897350831598267e+07,8,1.6003974881271893e+08,5.1981421515750179e-02,3.5880587477464233e-02,rank=8;fro=5.198142e-02;max_abs=3.588059e-02,2.8289047471031612e+00,1.0001688650037301e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,False,True,7.7011576956595207e-10,7.7011576956579108e-10,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,False,False,Non-final full component mixing does not span the terminal-bridge local tangent.,derive a richer nonlinear value-level source-free compression,"This probe removes final-stage velocity rows from the active fit and allows full component mixing across the selected non-final stage rows. It is local tangent evidence, not an accepted h-sweep."
cylindrical_smooth,0.04,universal_stage1_full_8x8,paper_tfe_lower_pair_velocity_compression_component_mixing_blocked_not_full_tfe,,universal_nonfinal_stage1_full_component_mixing,all_case_h_nonfinal_full_component_mixing,1,6,24,8,16,24,8,8,132,24,32,8,1.4382651658984829e+10,3.7127280938507345e-01,3.6457333488255955e-01,9.8195538608493838e-01,9.9958586619705980e-01,9.4620774093975124e-01,3.6458394105593767e-01,9.9983329248361075e-01,4.7787196724343096e-10,6.1988269033525974e+07,8,2.3873788655767515e+07,3.2087741187813532e-02,2.2282036253858526e-02,rank=8;fro=3.208774e-02;max_abs=2.228204e-02,2.8286091322652798e+00,1.0000643493754875e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,False,True,4.7787196639687126e-10,4.7787196639661184e-10,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,False,False,Non-final full component mixing does not span the terminal-bridge local tangent.,derive a richer nonlinear value-level source-free compression,"This probe removes final-stage velocity rows from the active fit and allows full component mixing across the selected non-final stage rows. It is local tangent evidence, not an accepted h-sweep."
cylindrical_smooth,0.04,case_local_stage01_full_8x16,paper_tfe_lower_pair_velocity_compression_component_mixing_blocked_not_full_tfe,,case_local_nonfinal_stage01_full_component_mixing,case_local_nonfinal_full_component_mixing,"0,1",1,24,8,16,24,16,8,132,24,32,8,4.3910182493979330e+09,3.7127280938507345e-01,3.6457167056451162e-01,9.8195090334877821e-01,9.9958580208054659e-01,9.4619200564944972e-01,3.6457167056451162e-01,9.9979964194539073e-01,6.8180452193978976e-10,8.8441852695554256e+07,8,8.2866414794870932e+06,5.2894666551127713e-02,3.5855280061918994e-02,rank=8;fro=5.289467e-02;max_abs=3.585528e-02,2.8289216754356339e+00,1.0001748500730729e+00,1.0000000000000000e+00,1.8836546240384774e-01,9.8209900344791345e-01,0.0000000000000000e+00,False,True,6.8180452107889791e-10,6.8180452107871604e-10,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,False,False,Non-final full component mixing does not span the terminal-bridge local tangent.,derive a richer nonlinear value-level source-free compression,"This probe removes final-stage velocity rows from the active fit and allows full component mixing across the selected non-final stage rows. It is local tangent evidence, not an accepted h-sweep."
cylindrical_smooth,0.04,universal_stage01_full_8x16,paper_tfe_lower_pair_velocity_compression_component_mixing_blocked_not_full_tfe,,universal_nonfinal_stage01_full_component_mixing,all_case_h_nonfinal_full_component_mixing,"0,1",6,24,8,16,24,16,8,132,24,32,8,1.0662941621051477e+08,3.7127280938507345e-01,3.6457170144267442e-01,9.8195098651717094e-01,9.9958580423163368e-01,9.4619214367066684e-01,3.6458269297221924e-01,9.9982986974466659e-01,4.3446036993212586e-10,5.6357033142391443e+07,8,1.0434630813419459e+05,3.2456748806594611e-02,2.2275352719669971e-02,rank=8;fro=3.245675e-02;max_abs=2.227535e-02,2.8286133423540050e+00,1.0000658378666309e+00,1.0000000000000000e+00,1.5214967924716635e-01,9.8835746322116902e-01,0.0000000000000000e+00,False,True,4.3446036908843116e-10,4.3446036908814578e-10,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,False,False,Non-final full component mixing does not span the terminal-bridge local tangent.,derive a richer nonlinear value-level source-free compression,"This probe removes final-stage velocity rows from the active fit and allows full component mixing across the selected non-final stage rows. It is local tangent evidence, not an accepted h-sweep."
cylindrical_smooth,0.02,case_local_stage0_full_8x8,paper_tfe_lower_pair_velocity_compression_component_mixing_blocked_not_full_tfe,,case_local_nonfinal_stage0_full_component_mixing,case_local_nonfinal_full_component_mixing,0,1,24,8,16,24,8,8,132,23,31,8,1.7183143493422408e+13,2.6042001459760067e-01,2.5971466501826118e-01,9.9729149243605797e-01,9.9993882724686656e-01,9.9172367966324215e-01,2.5971466501826118e-01,9.9999962247790164e-01,2.6571633062724367e-13,4.6989836192761839e+04,7,3.7476577825738920e+05,2.8884294077418495e-03,1.9848300409911947e-03,rank=7;fro=2.888429e-03;max_abs=1.984830e-03,2.8284285995980953e+00,1.0000005214388916e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,False,True,2.6571617517888408e-13,2.6571551896676301e-13,3.2156011462016375e-10,5.6547617986413359e-18,7.0466756796527945e-17,2.5293403096553380e-12,132,False,False,True,True,True,False,False,False,False,Non-final full component mixing does not span the terminal-bridge local tangent.,derive a richer nonlinear value-level source-free compression,"This probe removes final-stage velocity rows from the active fit and allows full component mixing across the selected non-final stage rows. It is local tangent evidence, not an accepted h-sweep."
cylindrical_smooth,0.02,universal_stage0_full_8x8,paper_tfe_lower_pair_velocity_compression_component_mixing_blocked_not_full_tfe,,universal_nonfinal_stage0_full_component_mixing,all_case_h_nonfinal_full_component_mixing,0,6,24,8,16,24,8,8,132,23,31,8,9.9786818158487244e+10,2.6042001459760067e-01,2.5971466501826118e-01,9.9729149243605797e-01,9.9993882724686656e-01,9.9172367966324237e-01,2.5971540021710271e-01,1.0000024532713183e+00,4.4417631742013352e-13,7.8549076554710991e+04,8,1.8805338365463261e+07,5.0309173448238398e-03,3.4689129880038274e-03,rank=8;fro=5.030917e-03;max_abs=3.468913e-03,2.8284315989836721e+00,1.0000015818818320e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,False,True,4.4417754475804168e-13,4.4417715219871781e-13,3.2156011462016375e-10,5.6547617986413359e-18,7.0466756796527945e-17,2.5293403096553380e-12,132,False,False,True,True,True,False,False,False,False,Non-final full component mixing does not span the terminal-bridge local tangent.,derive a richer nonlinear value-level source-free compression,"This probe removes final-stage velocity rows from the active fit and allows full component mixing across the selected non-final stage rows. It is local tangent evidence, not an accepted h-sweep."
cylindrical_smooth,0.02,case_local_stage1_full_8x8,paper_tfe_lower_pair_velocity_compression_component_mixing_blocked_not_full_tfe,,case_local_nonfinal_stage1_full_component_mixing,case_local_nonfinal_full_component_mixing,1,1,24,8,16,24,8,8,132,23,31,8,5.6607896627905969e+11,2.6042001459760067e-01,2.5971396426143600e-01,9.9728880156444333e-01,9.9993878843342399e-01,9.9171405672337665e-01,2.5971396426143600e-01,9.9999692429926557e-01,8.3763954390287240e-13,1.4812994317534848e+05,7,1.6263103222097703e+06,6.4678789021864018e-03,4.3978492601486558e-03,rank=7;fro=6.467879e-03;max_abs=4.397849e-03,2.8284345199168910e+00,1.0000026145876753e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,False,True,8.3763893386540580e-13,8.3763872570175170e-13,3.2156011462016375e-10,5.6547617986413359e-18,7.0466756796527945e-17,2.5293403096553380e-12,132,False,False,True,True,True,False,False,False,False,Non-final full component mixing does not span the terminal-bridge local tangent.,derive a richer nonlinear value-level source-free compression,"This probe removes final-stage velocity rows from the active fit and allows full component mixing across the selected non-final stage rows. It is local tangent evidence, not an accepted h-sweep."
cylindrical_smooth,0.02,universal_stage1_full_8x8,paper_tfe_lower_pair_velocity_compression_component_mixing_blocked_not_full_tfe,,universal_nonfinal_stage1_full_component_mixing,all_case_h_nonfinal_full_component_mixing,1,6,24,8,16,24,8,8,132,24,32,8,1.4373203436289331e+10,2.6042001459760067e-01,2.5971396426143600e-01,9.9728880156444333e-01,9.9993878843342399e-01,9.9171405672337665e-01,2.5972602281129303e-01,1.0000433542738834e+00,4.2481267809192101e-12,7.5124769746090868e+05,8,2.3873788655767515e+07,3.2087741187813532e-02,2.2282036253858526e-02,rank=8;fro=3.208774e-02;max_abs=2.228204e-02,2.8286091322652798e+00,1.0000643493754875e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,False,True,4.2481259969640433e-12,4.2481259559186603e-12,3.2156011462016375e-10,5.6547617986413359e-18,7.0466756796527945e-17,2.5293403096553380e-12,132,False,False,True,True,True,False,False,False,False,Non-final full component mixing does not span the terminal-bridge local tangent.,derive a richer nonlinear value-level source-free compression,"This probe removes final-stage velocity rows from the active fit and allows full component mixing across the selected non-final stage rows. It is local tangent evidence, not an accepted h-sweep."
