case,h,candidate_basis,status,error_message,candidate_kind,fit_scope,feature_family,feature_scope,active_stage_rows,training_sample_count,basis_row_count,compression_row_count,source_consistency_rows,velocity_stage_rows,active_velocity_rows,higher_order_feature_rows,higher_order_feature_rank,higher_order_feature_condition,finite_difference_eps,finite_difference_direction_count,source_row_second_differential_used,source_row_third_differential_used,nonlocal_source_feature_used,all_row_second_differential_used,all_row_third_differential_used,uses_final_stage_velocity_feature,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,basis_condition,target_jacobian_norm,oracle_correction_norm,higher_order_projected_correction_norm,higher_order_correction_residual_norm,higher_order_correction_relative_residual,max_higher_order_row_relative_residual,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,value_residual_norm,value_level_balance_ok,meaningful_nonfinal_energy,target_jacobian_used_for_capacity_fit,target_direction_oracle_used_for_formula,endpoint_boundary_source_removed,target_terminal_boundary_row_used,terminal_row_replacement_used,projection_used,accepted_h_sweep_present,full_tfe_stage_replacement,higher_order_capacity_spans_target,blocking_gap,next_repair_target,notes
cylindrical_smooth,0.04,case_local_higher_order_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_higher_order_capacity_gap_not_full_tfe,,case_local_higher_order_capacity_nonfinal_stage_scalar_value_fit,case_local_higher_order_capacity_oracle_fit,third_diff_source_rows_perp_along_active_velocity,source-row third differential along active non-final velocity rows,"0,1",1,24,8,16,24,16,256,46,6.0906529938790365e+05,1.0000000000000001e-05,16,False,True,False,False,False,False,8,132,24,28,4,8.6132133764729554e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748614039927092e-01,2.5819888974716110e-01,7.0808342602665753e-01,9.9214876648145423e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,2.3796091438681311e-13,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested higher-order/nonlocal non-final source features do not reproduce the local correction.,derive a different nonlocal or history-dependent non-final source law for the coefficient-gradient closure,This capacity audit extends the second-differential probe with third finite differences of the source-free lower-pair row Jacobian and same-case cross-step source-row deltas. It is not a formula and not a trajectory h-sweep.
cylindrical_smooth,0.04,case_local_higher_order_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_higher_order_capacity_gap_not_full_tfe,,case_local_higher_order_capacity_nonfinal_stage_scalar_value_fit,case_local_higher_order_capacity_oracle_fit,active_plus_third_diff_source_rows_perp,active non-final velocity plus source-row third differential,"0,1",1,24,8,16,24,16,272,54,6.0870591055868950e+05,1.0000000000000001e-05,16,False,True,False,False,False,False,8,132,24,28,4,8.6132133763569198e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748614039922924e-01,2.5819888974716110e-01,7.0808342602665753e-01,9.9214876648145423e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,2.4980396448860174e-13,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested higher-order/nonlocal non-final source features do not reproduce the local correction.,derive a different nonlocal or history-dependent non-final source law for the coefficient-gradient closure,This capacity audit extends the second-differential probe with third finite differences of the source-free lower-pair row Jacobian and same-case cross-step source-row deltas. It is not a formula and not a trajectory h-sweep.
cylindrical_smooth,0.04,case_local_higher_order_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_higher_order_capacity_gap_not_full_tfe,,case_local_higher_order_capacity_nonfinal_stage_scalar_value_fit,case_local_higher_order_capacity_oracle_fit,second_plus_third_diff_source_rows_perp_along_active_velocity,source-row second and third differentials along active non-final velocity rows,"0,1",1,24,8,16,24,16,512,46,1.9172867175673669e+04,1.0000000000000001e-05,16,True,True,False,False,False,False,8,132,24,28,4,8.6132133764566231e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748614039921747e-01,2.5819888974716110e-01,7.0808342602665753e-01,9.9214876648145423e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,7.9161705956121230e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested higher-order/nonlocal non-final source features do not reproduce the local correction.,derive a different nonlocal or history-dependent non-final source law for the coefficient-gradient closure,This capacity audit extends the second-differential probe with third finite differences of the source-free lower-pair row Jacobian and same-case cross-step source-row deltas. It is not a formula and not a trajectory h-sweep.
cylindrical_smooth,0.04,case_local_higher_order_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_higher_order_capacity_gap_not_full_tfe,,case_local_higher_order_capacity_nonfinal_stage_scalar_value_fit,case_local_higher_order_capacity_oracle_fit,nonlocal_same_case_source_delta_rows_perp,same-case cross-step source-row deltas residualized against local source rows,"0,1",1,24,8,16,24,16,32,32,1.3175562190012651e+05,1.0000000000000001e-05,32,False,False,True,False,False,False,8,132,24,30,6,8.7702859084000011e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5452890944787565e-01,2.6111455995342731e-01,7.1607934634544157e-01,9.9214876692055731e-01,2.6111455995342731e-01,7.0329567195050580e-01,9.9030198874350073e-01,5.1728768867312086e-12,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested higher-order/nonlocal non-final source features do not reproduce the local correction.,derive a different nonlocal or history-dependent non-final source law for the coefficient-gradient closure,This capacity audit extends the second-differential probe with third finite differences of the source-free lower-pair row Jacobian and same-case cross-step source-row deltas. It is not a formula and not a trajectory h-sweep.
cylindrical_smooth,0.04,case_local_higher_order_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_higher_order_capacity_gap_not_full_tfe,,case_local_higher_order_capacity_nonfinal_stage_scalar_value_fit,case_local_higher_order_capacity_oracle_fit,active_plus_nonlocal_same_case_source_delta_rows_perp,active non-final velocity plus same-case nonlocal source-row deltas,"0,1",1,24,8,16,24,16,48,44,6.1813589096060710e+05,1.0000000000000001e-05,48,False,False,True,False,False,False,8,132,24,30,6,8.7409494299254482e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5745337642331756e-01,2.5823155913363316e-01,7.0817301839911884e-01,9.9214876691662290e-01,2.5823155913363316e-01,6.9553049026491687e-01,9.9030198873957376e-01,2.8268562506381145e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested higher-order/nonlocal non-final source features do not reproduce the local correction.,derive a different nonlocal or history-dependent non-final source law for the coefficient-gradient closure,This capacity audit extends the second-differential probe with third finite differences of the source-free lower-pair row Jacobian and same-case cross-step source-row deltas. It is not a formula and not a trajectory h-sweep.
cylindrical_smooth,0.04,case_local_higher_order_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_higher_order_capacity_gap_not_full_tfe,,case_local_higher_order_capacity_nonfinal_stage_scalar_value_fit,case_local_higher_order_capacity_oracle_fit,higher_order_plus_nonlocal_source_rows_perp,source-row second/third differentials plus same-case nonlocal source-row deltas,"0,1",1,24,8,16,24,16,544,46,3.4124765016253918e+03,1.0000000000000001e-05,48,True,True,True,False,False,False,8,132,24,28,4,8.6132133764576042e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748614039921719e-01,2.5819888974716110e-01,7.0808342602665753e-01,9.9214876648145423e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,2.3264563961785004e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested higher-order/nonlocal non-final source features do not reproduce the local correction.,derive a different nonlocal or history-dependent non-final source law for the coefficient-gradient closure,This capacity audit extends the second-differential probe with third finite differences of the source-free lower-pair row Jacobian and same-case cross-step source-row deltas. It is not a formula and not a trajectory h-sweep.
cylindrical_smooth,0.04,universal_higher_order_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_higher_order_capacity_gap_not_full_tfe,,universal_higher_order_capacity_nonfinal_stage_scalar_value_fit,all_case_h_higher_order_capacity_oracle_fit,third_diff_source_rows_perp_along_active_velocity,source-row third differential along active non-final velocity rows,"0,1",6,24,8,16,24,16,256,46,6.0906529938790365e+05,1.0000000000000001e-05,16,False,True,False,False,False,False,8,132,24,28,4,8.6132133764119385e+02,3.7127280938507345e-01,3.6464473007478193e-01,2.5748614041270540e-01,2.5819888974716110e-01,7.0808342600812924e-01,9.9214876647879036e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,2.0722732920948615e-13,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested higher-order/nonlocal non-final source features do not reproduce the local correction.,derive a different nonlocal or history-dependent non-final source law for the coefficient-gradient closure,This capacity audit extends the second-differential probe with third finite differences of the source-free lower-pair row Jacobian and same-case cross-step source-row deltas. It is not a formula and not a trajectory h-sweep.
cylindrical_smooth,0.04,universal_higher_order_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_higher_order_capacity_gap_not_full_tfe,,universal_higher_order_capacity_nonfinal_stage_scalar_value_fit,all_case_h_higher_order_capacity_oracle_fit,active_plus_third_diff_source_rows_perp,active non-final velocity plus source-row third differential,"0,1",6,24,8,16,24,16,272,54,6.0870591055868950e+05,1.0000000000000001e-05,16,False,True,False,False,False,False,8,132,24,28,4,8.6132133763235947e+02,3.7127280938507345e-01,3.6464473007478193e-01,2.5748614041271778e-01,2.5819888974716110e-01,7.0808342600812924e-01,9.9214876647879036e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,2.8170297267211792e-13,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested higher-order/nonlocal non-final source features do not reproduce the local correction.,derive a different nonlocal or history-dependent non-final source law for the coefficient-gradient closure,This capacity audit extends the second-differential probe with third finite differences of the source-free lower-pair row Jacobian and same-case cross-step source-row deltas. It is not a formula and not a trajectory h-sweep.
cylindrical_smooth,0.04,universal_higher_order_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_higher_order_capacity_gap_not_full_tfe,,universal_higher_order_capacity_nonfinal_stage_scalar_value_fit,all_case_h_higher_order_capacity_oracle_fit,second_plus_third_diff_source_rows_perp_along_active_velocity,source-row second and third differentials along active non-final velocity rows,"0,1",6,24,8,16,24,16,512,46,1.9172867175673669e+04,1.0000000000000001e-05,16,True,True,False,False,False,False,8,132,24,28,4,8.6132133764569710e+02,3.7127280938507345e-01,3.6464473007478193e-01,2.5748614041272971e-01,2.5819888974716110e-01,7.0808342600812924e-01,9.9214876647879036e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,7.6478973363208245e-15,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested higher-order/nonlocal non-final source features do not reproduce the local correction.,derive a different nonlocal or history-dependent non-final source law for the coefficient-gradient closure,This capacity audit extends the second-differential probe with third finite differences of the source-free lower-pair row Jacobian and same-case cross-step source-row deltas. It is not a formula and not a trajectory h-sweep.
cylindrical_smooth,0.04,universal_higher_order_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_higher_order_capacity_gap_not_full_tfe,,universal_higher_order_capacity_nonfinal_stage_scalar_value_fit,all_case_h_higher_order_capacity_oracle_fit,nonlocal_same_case_source_delta_rows_perp,same-case cross-step source-row deltas residualized against local source rows,"0,1",6,24,8,16,24,16,32,32,1.3175562190012651e+05,1.0000000000000001e-05,32,False,False,True,False,False,False,8,132,24,30,6,8.7702859084034162e+02,3.7127280938507345e-01,3.6464473007478193e-01,2.5452890939723682e-01,2.6111456001600930e-01,7.1607934649832872e-01,9.9214876691789344e-01,2.6111456001600930e-01,7.0329567211906652e-01,9.9030198874350073e-01,5.7135179844292520e-12,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested higher-order/nonlocal non-final source features do not reproduce the local correction.,derive a different nonlocal or history-dependent non-final source law for the coefficient-gradient closure,This capacity audit extends the second-differential probe with third finite differences of the source-free lower-pair row Jacobian and same-case cross-step source-row deltas. It is not a formula and not a trajectory h-sweep.
