case,h,reference_h,t_final,block,status,error_message,source_dim,lifted_rows,endpoint_source_norm,lifted_endpoint_probe_norm,lift_reconstruction_error_norm,lift_norm_ratio_deviation,source_observed_order,lifted_probe_observed_order,proposed_stage_local_source,stage_local_formula_status,derived_weak_row_present,endpoint_boundary_source_removed,stage_local_replacement_required,priority_rank,is_dominant_source,acceptance_gap_status,acceptance_missing_count,h_sweep_present,full_tfe_stage_replacement,blocking_gap,notes
cylindrical_sharp,0.01,0.005,0.08,translational_position_weak_defect,stage_local_source_removal_target_quantified_not_full_tfe,,6,18,6.5934127076962961e-16,6.5934127076962963e-17,0.0000000000000000e+00,2.2204460492503131e-16,5.8181004483590479e+00,6.3181004483590453e+00,stage_local_position_defect_weak_row,target_specified_formula_missing,False,False,True,6,False,full_stage_acceptance_gap_quantified_not_full_tfe,3,True,False,Derive `stage_local_position_defect_weak_row` as a stage-local weak/TFE row source and replace the current endpoint-boundary source seed before claiming full TFE stage replacement.,This row converts a verified endpoint-boundary source block into a concrete stage-local replacement target. It prioritizes the derivation work while deliberately preserving endpoint_boundary_source_removed=false and full_tfe_stage_replacement=false.
cylindrical_sharp,0.01,0.005,0.08,rotational_lie_position_weak_defect,stage_local_source_removal_target_quantified_not_full_tfe,,6,18,2.9381149208033332e-15,2.9381149208033326e-16,0.0000000000000000e+00,2.2204460492503131e-16,3.5582462154393748e+00,4.0582462154393673e+00,stage_local_lie_position_defect_weak_row,target_specified_formula_missing,False,False,True,5,False,full_stage_acceptance_gap_quantified_not_full_tfe,3,True,False,Derive `stage_local_lie_position_defect_weak_row` as a stage-local weak/TFE row source and replace the current endpoint-boundary source seed before claiming full TFE stage replacement.,This row converts a verified endpoint-boundary source block into a concrete stage-local replacement target. It prioritizes the derivation work while deliberately preserving endpoint_boundary_source_removed=false and full_tfe_stage_replacement=false.
cylindrical_sharp,0.01,0.005,0.08,translational_velocity_weak_defect,stage_local_source_removal_target_quantified_not_full_tfe,,6,18,2.9522801710674034e-13,2.9522801710674033e-14,0.0000000000000000e+00,2.2204460492503131e-16,4.4990415465999813e+00,4.9990415465999813e+00,stage_local_velocity_defect_weak_row,target_specified_formula_missing,False,False,True,3,False,full_stage_acceptance_gap_quantified_not_full_tfe,3,True,False,Derive `stage_local_velocity_defect_weak_row` as a stage-local weak/TFE row source and replace the current endpoint-boundary source seed before claiming full TFE stage replacement.,This row converts a verified endpoint-boundary source block into a concrete stage-local replacement target. It prioritizes the derivation work while deliberately preserving endpoint_boundary_source_removed=false and full_tfe_stage_replacement=false.
cylindrical_sharp,0.01,0.005,0.08,angular_velocity_weak_defect,stage_local_source_removal_target_quantified_not_full_tfe,,6,18,3.5428234811509568e-13,3.5428234811509571e-14,0.0000000000000000e+00,0.0000000000000000e+00,3.4184339082755275e+00,3.9184339082755280e+00,stage_local_angular_velocity_defect_weak_row,target_specified_formula_missing,False,False,True,2,False,full_stage_acceptance_gap_quantified_not_full_tfe,3,True,False,Derive `stage_local_angular_velocity_defect_weak_row` as a stage-local weak/TFE row source and replace the current endpoint-boundary source seed before claiming full TFE stage replacement.,This row converts a verified endpoint-boundary source block into a concrete stage-local replacement target. It prioritizes the derivation work while deliberately preserving endpoint_boundary_source_removed=false and full_tfe_stage_replacement=false.
cylindrical_sharp,0.01,0.005,0.08,newton_euler_weak_balance,stage_local_source_removal_target_quantified_not_full_tfe,,12,36,7.7211798816625672e-13,7.7211798816625664e-14,0.0000000000000000e+00,0.0000000000000000e+00,4.4849781120410270e+00,4.9849781120410297e+00,stage_local_newton_euler_weak_balance_row,target_specified_formula_missing,False,False,True,1,True,full_stage_acceptance_gap_quantified_not_full_tfe,3,True,False,Derive `stage_local_newton_euler_weak_balance_row` as a stage-local weak/TFE row source and replace the current endpoint-boundary source seed before claiming full TFE stage replacement.,This row converts a verified endpoint-boundary source block into a concrete stage-local replacement target. It prioritizes the derivation work while deliberately preserving endpoint_boundary_source_removed=false and full_tfe_stage_replacement=false.
cylindrical_sharp,0.01,0.005,0.08,lower_pair_index3_weak_constraints,stage_local_source_removal_target_quantified_not_full_tfe,,8,24,9.8801905661008972e-15,9.8801905661008976e-16,0.0000000000000000e+00,0.0000000000000000e+00,4.8311877994751757e+00,5.3311877994751766e+00,stage_local_lower_pair_index3_weak_constraint_row,target_specified_formula_missing,False,False,True,4,False,full_stage_acceptance_gap_quantified_not_full_tfe,3,True,False,Derive `stage_local_lower_pair_index3_weak_constraint_row` as a stage-local weak/TFE row source and replace the current endpoint-boundary source seed before claiming full TFE stage replacement.,This row converts a verified endpoint-boundary source block into a concrete stage-local replacement target. It prioritizes the derivation work while deliberately preserving endpoint_boundary_source_removed=false and full_tfe_stage_replacement=false.
cylindrical_sharp,0.02,0.005,0.08,translational_position_weak_defect,stage_local_source_removal_target_quantified_not_full_tfe,,6,18,3.3939776184033343e-14,4.7998091783367329e-15,0.0000000000000000e+00,2.2204460492503131e-16,5.8181004483590479e+00,6.3181004483590453e+00,stage_local_position_defect_weak_row,target_specified_formula_missing,False,False,True,6,False,full_stage_acceptance_gap_quantified_not_full_tfe,3,True,False,Derive `stage_local_position_defect_weak_row` as a stage-local weak/TFE row source and replace the current endpoint-boundary source seed before claiming full TFE stage replacement.,This row converts a verified endpoint-boundary source block into a concrete stage-local replacement target. It prioritizes the derivation work while deliberately preserving endpoint_boundary_source_removed=false and full_tfe_stage_replacement=false.
cylindrical_sharp,0.02,0.005,0.08,rotational_lie_position_weak_defect,stage_local_source_removal_target_quantified_not_full_tfe,,6,18,7.4001038100632010e-14,1.0465327171160196e-14,0.0000000000000000e+00,2.2204460492503131e-16,3.5582462154393748e+00,4.0582462154393673e+00,stage_local_lie_position_defect_weak_row,target_specified_formula_missing,False,False,True,5,False,full_stage_acceptance_gap_quantified_not_full_tfe,3,True,False,Derive `stage_local_lie_position_defect_weak_row` as a stage-local weak/TFE row source and replace the current endpoint-boundary source seed before claiming full TFE stage replacement.,This row converts a verified endpoint-boundary source block into a concrete stage-local replacement target. It prioritizes the derivation work while deliberately preserving endpoint_boundary_source_removed=false and full_tfe_stage_replacement=false.
cylindrical_sharp,0.02,0.005,0.08,translational_velocity_weak_defect,stage_local_source_removal_target_quantified_not_full_tfe,,6,18,1.3447190244139341e-11,1.9017198819073027e-12,0.0000000000000000e+00,2.2204460492503131e-16,4.4990415465999813e+00,4.9990415465999813e+00,stage_local_velocity_defect_weak_row,target_specified_formula_missing,False,False,True,2,False,full_stage_acceptance_gap_quantified_not_full_tfe,3,True,False,Derive `stage_local_velocity_defect_weak_row` as a stage-local weak/TFE row source and replace the current endpoint-boundary source seed before claiming full TFE stage replacement.,This row converts a verified endpoint-boundary source block into a concrete stage-local replacement target. It prioritizes the derivation work while deliberately preserving endpoint_boundary_source_removed=false and full_tfe_stage_replacement=false.
cylindrical_sharp,0.02,0.005,0.08,angular_velocity_weak_defect,stage_local_source_removal_target_quantified_not_full_tfe,,6,18,7.1368787328108527e-12,1.0093070696953216e-12,0.0000000000000000e+00,0.0000000000000000e+00,3.4184339082755275e+00,3.9184339082755280e+00,stage_local_angular_velocity_defect_weak_row,target_specified_formula_missing,False,False,True,3,False,full_stage_acceptance_gap_quantified_not_full_tfe,3,True,False,Derive `stage_local_angular_velocity_defect_weak_row` as a stage-local weak/TFE row source and replace the current endpoint-boundary source seed before claiming full TFE stage replacement.,This row converts a verified endpoint-boundary source block into a concrete stage-local replacement target. It prioritizes the derivation work while deliberately preserving endpoint_boundary_source_removed=false and full_tfe_stage_replacement=false.
cylindrical_sharp,0.02,0.005,0.08,newton_euler_weak_balance,stage_local_source_removal_target_quantified_not_full_tfe,,12,36,3.4504374973574070e-11,4.8796555048835266e-12,0.0000000000000000e+00,2.2204460492503131e-16,4.4849781120410270e+00,4.9849781120410297e+00,stage_local_newton_euler_weak_balance_row,target_specified_formula_missing,False,False,True,1,True,full_stage_acceptance_gap_quantified_not_full_tfe,3,True,False,Derive `stage_local_newton_euler_weak_balance_row` as a stage-local weak/TFE row source and replace the current endpoint-boundary source seed before claiming full TFE stage replacement.,This row converts a verified endpoint-boundary source block into a concrete stage-local replacement target. It prioritizes the derivation work while deliberately preserving endpoint_boundary_source_removed=false and full_tfe_stage_replacement=false.
cylindrical_sharp,0.02,0.005,0.08,lower_pair_index3_weak_constraints,stage_local_source_removal_target_quantified_not_full_tfe,,8,24,4.3425569141177977e-13,6.1413028833224459e-14,0.0000000000000000e+00,2.2204460492503131e-16,4.8311877994751757e+00,5.3311877994751766e+00,stage_local_lower_pair_index3_weak_constraint_row,target_specified_formula_missing,False,False,True,4,False,full_stage_acceptance_gap_quantified_not_full_tfe,3,True,False,Derive `stage_local_lower_pair_index3_weak_constraint_row` as a stage-local weak/TFE row source and replace the current endpoint-boundary source seed before claiming full TFE stage replacement.,This row converts a verified endpoint-boundary source block into a concrete stage-local replacement target. It prioritizes the derivation work while deliberately preserving endpoint_boundary_source_removed=false and full_tfe_stage_replacement=false.
