case,h,reference_h,t_final,block,status,error_message,rows,probe_source,h_sweep_present,max_probe_block_norm,max_reference_block_residual_norm,max_non_equivalent_gap_norm,non_equivalent_to_gauss6,solved_as_residual,full_tfe_stage_replacement,notes
cylindrical_smooth,0.04,0.005,0.08,translational_position_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,4.8520106998762416e-13,1.9524322428545644e-17,4.8520106998762416e-13,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.04,0.005,0.08,rotational_lie_position_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,6.0594569464051627e-13,6.9428499420975097e-17,6.0594569464051627e-13,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.04,0.005,0.08,translational_velocity_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,1.3833602807290459e-11,2.2331773045634096e-16,1.3833602807290459e-11,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.04,0.005,0.08,angular_velocity_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,7.6489283481144911e-12,8.0048510315237634e-16,7.6489283481144911e-12,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.04,0.005,0.08,newton_euler_weak_balance,non_equivalent_probe_not_solved,,36,endpoint_position_velocity_boundary_correction,True,3.5936096964173770e-11,6.7667685531143230e-15,3.5936096964173770e-11,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.04,0.005,0.08,lower_pair_index3_weak_constraints,non_equivalent_probe_not_solved,,24,endpoint_position_velocity_boundary_correction,True,1.7499312985872217e-12,9.4067066495177640e-17,1.7499312985872217e-12,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.02,0.005,0.08,translational_position_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,3.3210004099438091e-15,1.9148607307815637e-17,3.3210004099438091e-15,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.02,0.005,0.08,rotational_lie_position_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,4.3873083646656762e-15,4.3254754647595059e-17,4.3873083646656762e-15,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.02,0.005,0.08,translational_velocity_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,8.4799273098462022e-14,2.3955752711669046e-16,8.4799273098462022e-14,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.02,0.005,0.08,angular_velocity_weak_defect,non_equivalent_probe_not_solved,,18,endpoint_position_velocity_boundary_correction,True,4.4434371973274442e-14,5.7211920974904970e-16,4.4434371973274442e-14,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
cylindrical_smooth,0.02,0.005,0.08,newton_euler_weak_balance,non_equivalent_probe_not_solved,,36,endpoint_position_velocity_boundary_correction,True,2.1879740785581723e-13,7.5886078076240313e-16,2.1879740785581723e-13,True,False,False,"Endpoint boundary-correction probe injected into the independent stage-functional row family. It is intentionally non-equivalent to the Gauss6 stage block and is evaluated, not solved, to quantify the remaining full-TFE stage gap."
