case,beta,h,reference_h,t_final,status,error_message,steps,runtime_sec,position_error_vs_beta_reference,velocity_error_vs_beta_reference,max_endpoint_position_constraint_norm,max_endpoint_velocity_constraint_norm,max_homotopy_residual_norm,max_homotopy_stage_residual_norm,max_non_equivalent_stage_probe_norm,max_weighted_stage_residual_norm,max_unweighted_stage_residual_norm,max_weighted_endpoint_node_residual_norm,total_newton_iterations,max_newton_iterations,position_observed_order,velocity_observed_order,probe_observed_order,stage_residual_observed_order,h_sweep_present,beta_path_present,stage_equations_are_tfe_weighted,non_equivalent_to_gauss6,solved_as_residual,full_tfe_stage_replacement,notes
cylindrical_smooth,0,0.04,0.005,0.08,stage_probe_beta_trajectory_bridge_solved_not_full_tfe,,2,1.15474139e+00,1.7613144904075001e-07,1.0072724680336663e-05,4.9020674071809774e-16,1.0028730982527897e-16,6.8192939451217115e-15,6.8182126614715959e-15,3.9305757674110657e-11,6.8182126614715959e-15,6.4500488310755323e-14,8.9424015363844958e-17,12,6,7.1608490396117768e+00,7.0661843936176707e+00,7.3882348956969617e+00,1.4699372196360088e+00,True,True,True,False,True,False,"Full-trajectory beta bridge using the same beta value for the h-sweep and h=0.005 reference. beta=0 is the diagonal-equivalent weighted bridge; beta>0 activates the non-equivalent endpoint-boundary probe. This is trajectory-level solvability evidence, not a derived full-TFE weak stage residual."
cylindrical_smooth,0,0.02,0.005,0.08,stage_probe_beta_trajectory_bridge_solved_not_full_tfe,,4,1.81774817e+00,1.8381836295321357e-09,2.9538772897742418e-08,6.4777527679529962e-16,2.2558329064616830e-16,9.6133473805785040e-16,9.5910971348052923e-16,2.3680345890374822e-13,9.5910971348052923e-16,1.1457968727030641e-14,6.5534078441206791e-17,24,6,7.1608490396117768e+00,7.0661843936176707e+00,7.3882348956969617e+00,1.4699372196360088e+00,True,True,True,False,True,False,"Full-trajectory beta bridge using the same beta value for the h-sweep and h=0.005 reference. beta=0 is the diagonal-equivalent weighted bridge; beta>0 activates the non-equivalent endpoint-boundary probe. This is trajectory-level solvability evidence, not a derived full-TFE weak stage residual."
cylindrical_smooth,0,0.01,0.005,0.08,stage_probe_beta_trajectory_bridge_solved_not_full_tfe,,8,4.57870589e+00,8.6015396848508284e-12,5.6089303708216776e-10,6.1288471938447131e-16,5.0371974485411346e-16,8.8934920088223077e-16,8.8854648488467056e-16,1.4005400584820625e-15,8.8854648488467056e-16,1.5275743312915412e-14,6.0511808729321395e-17,48,6,7.1608490396117768e+00,7.0661843936176707e+00,7.3882348956969617e+00,1.4699372196360088e+00,True,True,True,False,True,False,"Full-trajectory beta bridge using the same beta value for the h-sweep and h=0.005 reference. beta=0 is the diagonal-equivalent weighted bridge; beta>0 activates the non-equivalent endpoint-boundary probe. This is trajectory-level solvability evidence, not a derived full-TFE weak stage residual."
cylindrical_smooth,0.5,0.04,0.005,0.08,stage_probe_beta_trajectory_bridge_solved_not_full_tfe,,2,1.03969681e+00,1.7613159034576602e-07,1.0072721436757559e-05,7.5878782077321409e-16,3.7119751292677676e-16,5.8939348098441552e-14,5.8939048267852060e-14,3.9324064115822831e-11,1.9656482449960156e-11,1.7022052698033040e-10,2.0436876116256225e-16,12,6,7.1608579009913162e+00,7.0661842839799727e+00,7.3936157777296678e+00,2.9972096093075806e+00,True,True,True,True,True,False,"Full-trajectory beta bridge using the same beta value for the h-sweep and h=0.005 reference. beta=0 is the diagonal-equivalent weighted bridge; beta>0 activates the non-equivalent endpoint-boundary probe. This is trajectory-level solvability evidence, not a derived full-TFE weak stage residual."
cylindrical_smooth,0.5,0.02,0.005,0.08,stage_probe_beta_trajectory_bridge_solved_not_full_tfe,,4,2.00778008e+00,1.8381843336170795e-09,2.9538771987162264e-08,4.6081884873573559e-16,2.0809837631891044e-16,9.8553659910159142e-16,9.8134545325491927e-16,2.3694478462244947e-13,1.1834862396634279e-13,1.4495840957491838e-12,1.0019004590851754e-16,24,6,7.1608579009913162e+00,7.0661842839799727e+00,7.3936157777296678e+00,2.9972096093075806e+00,True,True,True,True,True,False,"Full-trajectory beta bridge using the same beta value for the h-sweep and h=0.005 reference. beta=0 is the diagonal-equivalent weighted bridge; beta>0 activates the non-equivalent endpoint-boundary probe. This is trajectory-level solvability evidence, not a derived full-TFE weak stage residual."
cylindrical_smooth,0.5,0.01,0.005,0.08,stage_probe_beta_trajectory_bridge_solved_not_full_tfe,,8,4.47119520e+00,8.6014409207277885e-12,5.6089294171578485e-10,6.7845252178915857e-16,2.3837023611305732e-16,9.2876963899618985e-16,9.2449193597498298e-16,1.3907790642092810e-15,1.0494200602771870e-15,1.8074377644032054e-14,6.3773848590747370e-17,48,6,7.1608579009913162e+00,7.0661842839799727e+00,7.3936157777296678e+00,2.9972096093075806e+00,True,True,True,True,True,False,"Full-trajectory beta bridge using the same beta value for the h-sweep and h=0.005 reference. beta=0 is the diagonal-equivalent weighted bridge; beta>0 activates the non-equivalent endpoint-boundary probe. This is trajectory-level solvability evidence, not a derived full-TFE weak stage residual."
cylindrical_smooth,1,0.04,0.005,0.08,stage_probe_beta_trajectory_bridge_solved_not_full_tfe,,2,8.81674617e-01,1.7613180251754269e-07,1.0072717818273027e-05,4.6486449116383076e-16,2.6582772383559421e-16,4.1296449626844494e-13,4.1296444720707084e-13,3.9340281005669991e-11,3.9307416378515017e-11,3.4035327870335484e-10,1.3811071309460372e-16,12,6,7.1608569560827240e+00,7.0661839142135854e+00,7.3888671294695110e+00,4.3534381393196018e+00,True,True,True,True,True,False,"Full-trajectory beta bridge using the same beta value for the h-sweep and h=0.005 reference. beta=0 is the diagonal-equivalent weighted bridge; beta>0 activates the non-equivalent endpoint-boundary probe. This is trajectory-level solvability evidence, not a derived full-TFE weak stage residual."
cylindrical_smooth,1,0.02,0.005,0.08,stage_probe_beta_trajectory_bridge_solved_not_full_tfe,,4,1.92434275e+00,1.8381849110136487e-09,2.9538769897761724e-08,6.4349641156677840e-16,4.0885179223310859e-16,1.1243692842245139e-15,1.1166025030572079e-15,2.3705698384925586e-13,2.3714068527611521e-13,2.9042271837172421e-12,9.8963383517921157e-17,24,6,7.1608569560827240e+00,7.0661839142135854e+00,7.3888671294695110e+00,4.3534381393196018e+00,True,True,True,True,True,False,"Full-trajectory beta bridge using the same beta value for the h-sweep and h=0.005 reference. beta=0 is the diagonal-equivalent weighted bridge; beta>0 activates the non-equivalent endpoint-boundary probe. This is trajectory-level solvability evidence, not a derived full-TFE weak stage residual."
cylindrical_smooth,1,0.01,0.005,0.08,stage_probe_beta_trajectory_bridge_solved_not_full_tfe,,8,4.00504552e+00,8.6014625494353820e-12,5.6089302773935702e-10,7.8691967485060506e-16,1.9349962027163640e-16,9.9029927601119590e-16,9.8828393490705053e-16,1.4005421312492911e-15,1.4968727971654026e-15,2.5779522620643530e-14,6.8739218616408453e-17,48,6,7.1608569560827240e+00,7.0661839142135854e+00,7.3888671294695110e+00,4.3534381393196018e+00,True,True,True,True,True,False,"Full-trajectory beta bridge using the same beta value for the h-sweep and h=0.005 reference. beta=0 is the diagonal-equivalent weighted bridge; beta>0 activates the non-equivalent endpoint-boundary probe. This is trajectory-level solvability evidence, not a derived full-TFE weak stage residual."
cylindrical_sharp,0,0.04,0.005,0.08,stage_probe_beta_trajectory_bridge_solved_not_full_tfe,,2,1.31681706e+00,9.4524728222582159e-06,2.3564816366695366e-03,5.3901495309228609e-16,1.8468328356851688e-16,9.7571307834472545e-14,9.7571088967799273e-14,8.3523087439334808e-11,9.7571088967799273e-14,9.2563224471648628e-13,1.2448603573937487e-16,13,7,1.8935250261744059e+00,2.6833716361908531e+00,4.9294857028180230e+00,-8.1435419428650491e-01,True,True,True,False,True,False,"Full-trajectory beta bridge using the same beta value for the h-sweep and h=0.005 reference. beta=0 is the diagonal-equivalent weighted bridge; beta>0 activates the non-equivalent endpoint-boundary probe. This is trajectory-level solvability evidence, not a derived full-TFE weak stage residual."
cylindrical_sharp,0,0.02,0.005,0.08,stage_probe_beta_trajectory_bridge_solved_not_full_tfe,,4,2.51363740e+00,1.5446339327039393e-06,5.5985060007205691e-04,5.3722554079684563e-16,3.6168168173292268e-16,1.2528266234851639e-15,1.2457818739562413e-15,5.3338711306020520e-12,1.2457818739562413e-15,1.5608036851354686e-14,7.2951481485683904e-17,25,7,1.8935250261744059e+00,2.6833716361908531e+00,4.9294857028180230e+00,-8.1435419428650491e-01,True,True,True,False,True,False,"Full-trajectory beta bridge using the same beta value for the h-sweep and h=0.005 reference. beta=0 is the diagonal-equivalent weighted bridge; beta>0 activates the non-equivalent endpoint-boundary probe. This is trajectory-level solvability evidence, not a derived full-TFE weak stage residual."
cylindrical_sharp,0,0.01,0.005,0.08,stage_probe_beta_trajectory_bridge_solved_not_full_tfe,,8,4.76816956e+00,6.8474642972411772e-07,5.7110157223310706e-05,6.6743942356705306e-16,2.0671297972939003e-16,3.0172498612897626e-13,3.0172495502333450e-13,8.9941560879075975e-14,3.0172495502333450e-13,5.7243931751312376e-12,6.9575793650667356e-17,48,6,1.8935250261744059e+00,2.6833716361908531e+00,4.9294857028180230e+00,-8.1435419428650491e-01,True,True,True,False,True,False,"Full-trajectory beta bridge using the same beta value for the h-sweep and h=0.005 reference. beta=0 is the diagonal-equivalent weighted bridge; beta>0 activates the non-equivalent endpoint-boundary probe. This is trajectory-level solvability evidence, not a derived full-TFE weak stage residual."
