case,h,reference_h,t_final,block,component,status,error_message,body_index,component_kind,component_source_dim,component_lifted_rows,block_source_dim,block_lifted_rows,component_source_norm,component_lifted_probe_norm,expected_component_lifted_probe_norm,component_lift_reconstruction_error_norm,component_lift_norm_ratio,component_lift_norm_ratio_deviation,component_source_fraction_of_block,component_lifted_fraction_of_block,block_source_norm,block_lifted_probe_norm,component_source_observed_order,component_lifted_probe_observed_order,component_fraction_observed_order,h_sweep_present,source_is_endpoint_boundary_only,stage_equations_are_tfe_weighted,non_equivalent_to_gauss6,solved_as_residual,full_tfe_stage_replacement,notes
cylindrical_smooth,0.04,0.005,0.08,newton_euler_weak_balance,body0_translational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,0,translational_balance,3,9,12,36,1.7203284122541199e-10,3.4406568245082400e-11,3.4406568245082400e-11,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,9.5743753917916496e-01,9.5743753917916508e-01,1.7968048482086888e-10,3.5936096964173770e-11,6.8900238495250967e+00,7.3900238495250967e+00,5.6035778771770309e-03,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_smooth,0.04,0.005,0.08,newton_euler_weak_balance,body0_rotational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,0,rotational_balance,3,9,12,36,8.2140992181758151e-12,1.6428198436351632e-12,1.6428198436351630e-12,0.0000000000000000e+00,1.0000000000000002e+00,2.2204460492503131e-16,4.5715032583337027e-02,4.5715032583337041e-02,1.7968048482086888e-10,3.5936096964173770e-11,6.9810317528234727e+00,7.4810317528234753e+00,9.6611481175560066e-02,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_smooth,0.04,0.005,0.08,newton_euler_weak_balance,body1_translational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,1,translational_balance,3,9,12,36,5.1141507785794390e-11,1.0228301557158878e-11,1.0228301557158878e-11,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,2.8462472057986449e-01,2.8462472057986454e-01,1.7968048482086888e-10,3.5936096964173770e-11,6.8239507117927483e+00,7.3239507117927491e+00,-6.0469559855170371e-02,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_smooth,0.04,0.005,0.08,newton_euler_weak_balance,body1_rotational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,1,rotational_balance,3,9,12,36,2.6178083971457927e-12,5.2356167942915858e-13,5.2356167942915858e-13,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.4569241616615167e-02,1.4569241616615171e-02,1.7968048482086888e-10,3.5936096964173770e-11,7.4188017915618634e+00,7.9188017915618634e+00,5.3438151991394456e-01,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_smooth,0.02,0.005,0.08,newton_euler_weak_balance,body0_translational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,0,translational_balance,3,9,12,36,1.4713361489566074e-12,2.0807835366642345e-13,2.0807835366642345e-13,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,9.5100922677997468e-01,9.5100922677997446e-01,1.5471313080088712e-12,2.1879740785581723e-13,6.8900238495250967e+00,7.3900238495250967e+00,5.6035778771770309e-03,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_smooth,0.02,0.005,0.08,newton_euler_weak_balance,body0_rotational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,0,rotational_balance,3,9,12,36,5.2924441889908496e-14,7.4846463501735349e-15,7.4846463501735349e-15,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,3.4208112534430742e-02,3.4208112534430735e-02,1.5471313080088712e-12,2.1879740785581723e-13,6.9810317528234727e+00,7.4810317528234753e+00,9.6611481175560066e-02,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_smooth,0.02,0.005,0.08,newton_euler_weak_balance,body1_translational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,1,translational_balance,3,9,12,36,4.7533040715388747e-13,6.7221870840535290e-14,6.7221870840535290e-14,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,3.0723339686379220e-01,3.0723339686379214e-01,1.5471313080088712e-12,2.1879740785581723e-13,6.8239507117927483e+00,7.3239507117927491e+00,-6.0469559855170371e-02,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_smooth,0.02,0.005,0.08,newton_euler_weak_balance,body1_rotational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,1,rotational_balance,3,9,12,36,6.7252122897910622e-15,9.5108864300607388e-16,9.5108864300607368e-16,0.0000000000000000e+00,1.0000000000000002e+00,2.2204460492503131e-16,4.3468917311525962e-03,4.3468917311525954e-03,1.5471313080088712e-12,2.1879740785581723e-13,7.4188017915618634e+00,7.9188017915618634e+00,5.3438151991394456e-01,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_smooth,0.01,0.005,0.08,newton_euler_weak_balance,body0_translational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,0,translational_balance,3,9,12,36,1.2229358121003593e-14,1.2229358121003594e-15,1.2229358121003594e-15,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,9.5002877848754852e-01,9.5002877848754874e-01,1.2872618596325896e-14,1.2872618596325894e-15,6.8900238495250967e+00,7.3900238495250967e+00,5.6035778771770309e-03,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
cylindrical_smooth,0.01,0.005,0.08,newton_euler_weak_balance,body0_rotational_balance_source,stage_probe_dominant_source_split_prioritized_not_full_tfe,,0,rotational_balance,3,9,12,36,5.1470694447367821e-16,5.1470694447367825e-17,5.1470694447367825e-17,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,3.9984634099279992e-02,3.9984634099280006e-02,1.2872618596325896e-14,1.2872618596325894e-15,6.9810317528234727e+00,7.4810317528234753e+00,9.6611481175560066e-02,True,True,True,True,False,False,"This audit splits the source-budget dominant Newton-Euler weak-balance source into body-local translational and rotational 3D source terms, then verifies the same sqrt(h*b_i) stage lift componentwise. It identifies the next weak-row derivation targets without claiming a full TFE stage replacement."
