case,h,beta,t_final,status,error_message,newton_iterations,runtime_sec,max_homotopy_residual_norm,max_homotopy_stage_residual_norm,max_non_equivalent_stage_probe_norm,max_weighted_stage_residual_norm,max_unweighted_stage_residual_norm,max_endpoint_position_constraint_norm,max_endpoint_velocity_constraint_norm,max_endpoint_position_correction_norm,max_endpoint_velocity_correction_norm,max_weighted_endpoint_node_residual_norm,h_sweep_present,beta_path_present,stage_equations_are_tfe_weighted,non_equivalent_to_gauss6,solved_as_residual,full_tfe_stage_replacement,notes
cylindrical_smooth,0.04,0,0.04,stage_probe_homotopy_solved_not_full_tfe,,6,1.17967631e+01,9.8021618942056774e-16,9.7192391682253228e-16,2.2600309534566103e-11,9.7192391682253228e-16,8.6779111360692604e-15,4.9020674071809774e-16,7.0996805340908043e-17,6.3036639457038193e-13,4.1249383288797566e-11,8.9424015363844958e-17,True,True,True,False,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_smooth,0.04,0.25,0.04,stage_probe_homotopy_solved_not_full_tfe,,6,4.03449387e-01,9.7943545813345790e-16,9.7645828298687746e-16,2.2536016329517069e-11,5.6341808333477757e-12,4.8793583424709140e-11,1.7367249547678217e-16,6.8490314265886014e-17,6.2829769554655121e-13,4.1123315613181398e-11,3.2753512320345531e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_smooth,0.04,0.5,0.04,stage_probe_homotopy_solved_not_full_tfe,,6,5.54592357e-01,1.4541347823576220e-15,1.4373468330423809e-15,2.2471912915108971e-11,1.1236097810513190e-11,9.7307668369662915e-11,6.2686303106610424e-16,1.5994292679759306e-16,6.2646280890840041e-13,4.0999047527709016e-11,2.0436876116256225e-16,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_smooth,0.04,0.75,0.04,stage_probe_homotopy_solved_not_full_tfe,,6,4.90270729e-01,1.0325483961332721e-15,1.0241706791486942e-15,2.2407990719592400e-11,1.6806094259865270e-11,1.4554526312851501e-10,3.3099796632377228e-16,1.5517062807931793e-16,6.2444904544922879e-13,4.0876515407101717e-11,7.4751449435090523e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_smooth,0.04,1,0.04,stage_probe_homotopy_solved_not_full_tfe,,6,5.66702373e-01,1.2144088666702843e-15,1.2090595703564062e-15,2.2344302574456035e-11,2.2344488778993823e-11,1.9350890712188846e-10,3.3832947851289391e-16,9.3572475174131759e-17,6.2254404220461286e-13,4.0755800297782864e-11,8.4918548815818410e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_smooth,0.02,0,0.02,stage_probe_homotopy_solved_not_full_tfe,,6,5.10791408e-01,7.3720982797530796e-16,7.3181674689428185e-16,1.1942235602885430e-13,7.3181674689428185e-16,8.9704891103673273e-15,4.2643163400256261e-16,5.5687609723038576e-17,1.8777395477446980e-15,3.0888653551351544e-13,6.0495372426881510e-17,True,True,True,False,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_smooth,0.02,0.25,0.02,stage_probe_homotopy_solved_not_full_tfe,,6,5.11107094e-01,8.2151001864606532e-16,8.1858603955997179e-16,1.1922092134400927e-13,2.9776101153344660e-14,3.6488351126796488e-13,2.3553408150709150e-16,6.5017215349870809e-17,1.9593872499338700e-15,3.0829831241981290e-13,5.5667504501434663e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_smooth,0.02,0.5,0.02,stage_probe_homotopy_solved_not_full_tfe,,6,4.74035348e-01,8.4180641893391426e-16,8.3752871547358304e-16,1.1900893421442672e-13,5.9574704442642555e-14,7.3015771190842781e-13,2.6341088502392473e-16,9.7054396924832508e-17,1.9000227345655234e-15,3.0768054142554899e-13,5.5324089776220273e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_smooth,0.02,0.75,0.02,stage_probe_homotopy_solved_not_full_tfe,,6,4.87886218e-01,9.8890179006900485e-16,9.8604453851792749e-16,1.1881981405253267e-13,8.9170138742844037e-14,1.0924859184677000e-12,3.8870556467222023e-16,7.2489787629927262e-17,1.8843676134200023e-15,3.0713176347996354e-13,6.9981840288180731e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
cylindrical_smooth,0.02,1,0.02,stage_probe_homotopy_solved_not_full_tfe,,6,4.99946155e-01,6.4695913101483753e-16,6.4220205758439765e-16,1.1860674875572553e-13,1.1860639583135843e-13,1.4527869221779327e-12,4.9768209972678478e-16,4.8835053877495668e-17,1.9640838699026923e-15,3.0651646576902618e-13,6.8632070747319751e-17,True,True,True,True,True,False,"One-step beta homotopy from the diagonal-equivalent stage-weighted residual (beta=0) to the solved non-equivalent endpoint-boundary probe (beta=1). This checks path solvability over the smooth/sharp h-sweep, but it remains a bridge audit rather than the derived full TFE weak stage functional."
