stages,nominal_order,h,steps,converged,runtime_sec,total_newton_iterations,mean_newton_iterations,max_position_constraint_norm,max_velocity_constraint_norm,final_position,final_orientation,final_velocity,final_angular_velocity,linf_position,linf_orientation,linf_velocity,linf_angular_velocity
1,2,0.1,5,True,0.07942084898240864,31,6.2,0.00228493027699818,6.31237321452193e-16,0.011583572667463328,0.011600805896476924,0.06527074770315588,0.13895596967196858,0.011583572667463328,0.011600805896476924,0.06527074770315588,0.13895596967196858
1,2,0.05,10,True,0.154793702007737,60,6.0,0.000590289913958256,1.1724827607030602e-15,0.0011590208211909908,0.0022740011201805377,0.012147886893818214,0.027009618381205035,0.0011590208211909908,0.0022740011201805377,0.012147886893818214,0.027009618381205035
1,2,0.025,20,True,0.3027930969838053,115,5.75,0.0001487629106669672,1.8651105797169113e-15,0.0002952158586904393,0.0005657692025591726,0.002973658431186851,0.006733762095746056,0.0002952158586904393,0.0005657692025591726,0.002973658431186851,0.006733762095746056
1,2,0.0125,40,True,0.6008072450058535,229,5.725,3.7263805259357295e-05,2.9818827790414426e-15,7.410919577358336e-05,0.00014086220710532706,0.0007392197071150274,0.0016768216875753797,7.410919577358336e-05,0.00014086220710532706,0.0007392197071150274,0.0016768216875753797
1,2,0.00625,80,True,1.2147912100190297,457,5.7125,9.32030030575253e-06,1.4461214838870832e-15,1.8654399061919307e-05,3.5185024398079236e-05,0.00018454470685100332,0.00041887483922346076,1.8654399061919307e-05,3.5185024398079236e-05,0.00018454470685100332,0.00041887483922346076
1,2,0.003125,160,True,2.452888782019727,915,5.71875,2.330318910827408e-06,2.7232116554465083e-15,4.68134543524147e-06,8.793588396917361e-06,4.6111188314916937e-05,0.00010468971941596598,4.68134543524147e-06,8.793588396917361e-06,4.6111188314916937e-05,0.00010468971941596598
1,2,0.0015625,320,True,5.010569317964837,1829,5.715625,5.825914700842174e-07,2.2998806141387494e-15,1.1726668191124079e-06,2.1981349846610063e-06,1.1525141499803362e-05,2.616957189092579e-05,1.1726668191124079e-06,2.1981349846610063e-06,1.1525141499803362e-05,2.616957189092579e-05
1,2,0.00078125,640,True,9.886147334997077,3658,5.715625,1.4564816546490922e-07,9.265672968190188e-14,2.9346493448357914e-07,5.495054397596737e-07,2.880982623962521e-06,6.542083555081109e-06,2.9346493448357914e-07,5.495054397596737e-07,2.880982623962521e-06,6.542083555081109e-06
2,4,0.1,5,True,0.08497645100578666,30,6.0,1.3011302097837626e-05,7.531992872227871e-16,0.0014764525432919278,0.0004672927590449318,0.003225577048187186,0.005855857907914921,0.0014764525432919278,0.0004672927590449318,0.003723662419999437,0.005855857907914921
2,4,0.05,10,True,0.17490326397819445,60,6.0,8.461046291508474e-07,1.0674787874450235e-15,6.228542101848481e-05,1.9204979608002522e-05,8.380312957185797e-05,0.0002511201778289148,6.228542101848481e-05,1.9204979608002522e-05,0.00015466410480213878,0.0002511201778289148
2,4,0.025,20,True,0.3448284679907374,117,5.85,5.396101052861751e-08,1.8341479587570455e-15,1.6103087877387166e-06,4.217235899493624e-07,2.813837793358452e-06,6.5498574419782035e-06,1.6103087877387166e-06,4.217235899493624e-07,1.1821893957340866e-05,6.5498574419782035e-06
2,4,0.0125,40,True,0.6802901679766364,229,5.725,3.3782612686470294e-09,1.1691429186593405e-15,1.4502130735225825e-07,3.954937599526712e-08,2.6564551409440164e-07,5.674839769709168e-07,1.4502130735225825e-07,3.954937599526712e-08,5.034088675893663e-07,5.674839769709168e-07
2,4,0.00625,80,True,1.3402405550004914,458,5.725,2.1127164686036412e-10,3.11121014581492e-15,9.090796252216194e-09,2.480359055458458e-09,1.6653584057145502e-08,3.555829616707357e-08,9.090796252216194e-09,2.480359055458458e-09,3.014522478005626e-08,3.555829616707357e-08
2,4,0.003125,160,True,2.7030971930362284,915,5.71875,1.3208442636347658e-11,3.023256190975435e-15,5.686186067994852e-10,1.551643961442122e-10,1.0417588518435488e-09,2.2238793130952495e-09,5.686186067994852e-10,1.551643961442122e-10,1.917827515853312e-09,2.2238793130952495e-09
