stribeck_velocity,h,steps,converged,runtime_sec,mean_newton_iterations,final_position,final_orientation,final_velocity,final_angular_velocity,linf_position,linf_orientation,linf_velocity,linf_angular_velocity,order_position_pairwise,order_velocity_pairwise
0.5,0.1,5,True,0.11586874397471547,6.0,0.0002774980552359843,0.00017547802548621182,0.0004958307519091387,0.0011038421687862546,0.0002774980552359843,0.00017547802548621182,0.0006290008126157178,0.0011038421687862546,6.953229402732915,7.829283685227741
0.5,0.05,10,True,0.20654311397811398,6.0,2.239387898020674e-06,1.5951900113908041e-06,2.1801392050391493e-06,9.465477826538829e-06,2.239387898020674e-06,1.5951900113908041e-06,2.933783043882699e-06,9.465477826538829e-06,4.577149399112736,3.483607809333951
0.5,0.025,20,True,0.4183151270262897,5.9,9.381452049011747e-08,5.16191365590357e-08,1.9490087150452e-07,3.5927049194361164e-07,9.381452049011747e-08,5.16191365590357e-08,4.465525261124486e-07,3.5927049194361164e-07,7.64427234375969,7.693220610121246
0.5,0.0125,40,True,0.8116367449983954,5.725,4.689373151752496e-10,0.0,9.41723946968444e-10,1.8179552510738162e-09,4.689373151752496e-10,4.2146848510894035e-08,3.305223310233999e-09,1.8179552510738162e-09,5.9755110476160835,5.979208162863542
0.5,0.00625,80,True,1.5148116740165278,5.725,7.452581393226833e-12,0.0,1.49280337003957e-11,2.8902912474401538e-11,7.452581393226833e-12,4.2146848510894035e-08,4.900999176654629e-11,2.8902912474401538e-11,5.9870857496121435,6.000048259916771
0.5,0.003125,160,True,2.9844213440082967,5.71875,1.174936324238926e-13,2.9802322387695312e-08,2.3324272418328075e-13,4.442834017773289e-13,1.174936324238926e-13,4.2146848510894035e-08,7.874235690718244e-13,4.442834017773289e-13,nan,nan
0.2,0.1,5,True,0.10834453999996185,6.2,0.00017988877787877605,9.503266225429405e-05,0.0007298389900453599,0.0005241691277616064,0.00023362762354397706,0.00011926937825796357,0.0007298389900453599,0.0005241691277616064,2.105552600307837,3.532332478036695
0.2,0.05,10,True,0.20855051302351058,6.1,4.1799355084591936e-05,2.494911880553764e-05,6.307961446802407e-05,0.00014747472753942717,4.1799355084591936e-05,2.494911880553764e-05,6.307961446802407e-05,0.00014747472753942717,4.535107698799561,4.227108218836189
0.2,0.025,20,True,0.4013492210069671,5.85,1.8028771326820531e-06,1.1277728038087339e-06,3.368237149544813e-06,7.036590791543841e-06,1.8028771326820531e-06,1.1277728038087339e-06,7.272073111658198e-06,7.036590791543841e-06,2.7386750779170845,1.829430356436494
0.2,0.0125,40,True,0.7500529940007254,5.675,2.7011131886148237e-07,1.5485740967710712e-07,9.47740084184213e-07,1.0846047671647716e-06,2.7011131886148237e-07,1.5485740967710712e-07,9.47740084184213e-07,1.0846047671647716e-06,8.567398137368126,8.611211155318406
0.2,0.00625,80,True,1.4542095530196093,5.675,7.120310937387432e-10,0.0,2.423574601428741e-09,2.86557314429741e-09,7.120310937387432e-10,4.2146848510894035e-08,3.178378205296171e-09,2.86557314429741e-09,5.848536673674581,5.8469443652712
0.2,0.003125,160,True,2.9453481240198016,5.675,1.235702683398095e-11,0.0,4.2106656324019725e-11,4.973899050220967e-11,1.235702683398095e-11,4.2146848510894035e-08,7.227385616461688e-11,4.973899050220967e-11,nan,nan
0.1,0.1,5,True,0.09700271900510415,6.2,0.00300610181405382,0.0016447050068572674,0.009346225293294855,0.010900809900652224,0.00300610181405382,0.0016447050068572674,0.009346225293294855,0.010900809900652224,0.4659309574443535,0.5897943202455099
0.1,0.05,10,True,0.19491597899468616,6.1,0.002176428937425699,0.0012306342402056548,0.0062099837528360215,0.008001578673960237,0.002176428937425699,0.0012306342402056548,0.0062099837528360215,0.008001578673960237,5.70859102995982,5.712085886631757
0.1,0.025,20,True,0.3852107690181583,5.75,4.1618589612689334e-05,2.355473453189078e-05,0.0001184626038208452,0.0001531801527576289,4.1618589612689334e-05,2.355473453189078e-05,0.0001184626038208452,0.0001531801527576289,4.138026420423927,4.107601754712895
0.1,0.0125,40,True,0.7386294089956209,5.7,2.363835677449451e-06,1.3271238850481944e-06,6.8717908976653235e-06,8.668198122339078e-06,2.363835677449451e-06,1.3271238850481944e-06,1.1349461581849315e-05,8.668198122339078e-06,5.880214450460153,6.07117979673401
0.1,0.00625,80,True,1.44353184098145,5.6875,4.013251277935874e-08,0.0,1.0220277972348743e-07,1.4847677794580718e-07,4.013251277935874e-08,4.2146848510894035e-08,2.311162133812109e-07,1.4847677794580718e-07,6.724010596076872,6.634941671451102
0.1,0.003125,160,True,2.8980004679760896,5.6875,3.7963607275632396e-10,0.0,1.0283625330923312e-09,1.4058063629305597e-09,3.7963607275632396e-10,4.2146848510894035e-08,2.6053988406531856e-09,1.4125454319680868e-09,nan,nan
0.05,0.1,5,True,0.10029749298701063,6.4,0.010100745388476764,0.005779940910876207,0.02652838629353084,0.03683365667250249,0.010100745388476764,0.005779940910876207,0.02652838629353084,0.03683365667250249,0.16866577681312744,0.18521946383901564
0.05,0.05,10,True,0.19716471899300814,6.2,0.008986280400467173,0.005150024947510335,0.02333212091931394,0.03268315983692985,0.008986280400467173,0.005150024947510335,0.02333212091931394,0.03268315983692985,4.114809534119776,4.121708951336613
0.05,0.025,20,True,0.3813976069795899,5.75,0.0005186792445397721,0.00029810627016464697,0.0013402820176109942,0.0018923565081867006,0.0005186792445397721,0.00029810627016464697,0.0013402820176109942,0.0018923565081867006,4.4661477177441204,4.529866929775916
0.05,0.0125,40,True,0.7555244070244953,5.7,2.34668307733893e-05,1.3573804635230305e-05,5.801901728446106e-05,8.544909986480868e-05,2.34668307733893e-05,1.3573804635230305e-05,5.801901728446106e-05,8.544909986480868e-05,3.4593882621139707,3.4231937810963626
0.05,0.00625,80,True,1.4931158480467275,5.7,2.1334123654354156e-06,1.2291425840438368e-06,5.408618626220734e-06,7.775760779694624e-06,2.1334123654354156e-06,1.2291425840438368e-06,5.408618626220734e-06,7.775760779694624e-06,5.265367768115295,5.240917967134317
0.05,0.003125,160,True,2.9031593180261552,5.7,5.5467829453876516e-08,0.0,1.4302529313062916e-07,2.0212627063438246e-07,5.5467829453876516e-08,4.2146848510894035e-08,1.5692695515429892e-07,2.0212627063438246e-07,nan,nan
0.02,0.1,5,True,0.09932392800692469,6.2,0.013341764575816092,0.007680286419609538,0.03406972539901385,0.04866004267989459,0.013341764575816092,0.007680286419609538,0.03406972539901385,0.04866004267989459,-0.22336933421998312,-0.20661347923563797
0.02,0.05,10,True,0.201227638986893,6.2,0.01557593559268094,0.008972780993517185,0.03931565251211013,0.056552054120754876,0.01557593559268094,0.008972780993517185,0.03931565251211013,0.056552054120754876,2.2851127734907966,2.283977330778256
0.02,0.025,20,True,0.3889882589573972,5.85,0.003195704795645976,0.0018430774612140822,0.008072718375303616,0.011634849120717322,0.003195704795645976,0.0018430774612140822,0.008072718375303616,0.011634849120717322,2.896621715897334,2.8864872403979187
0.02,0.0125,40,True,0.7891931569902226,5.75,0.0004291376630219497,0.0002470916607525975,0.0010916930877406365,0.0015625435542734334,0.0004291376630219497,0.0002470916607525975,0.0010916930877406365,0.0015625435542734334,1.5452351389630794,1.5554918377708458
0.02,0.00625,80,True,1.4472550329519436,5.725,0.0001470396650132938,8.476446926931708e-05,0.00037140766241959024,0.0005351471342962159,0.0001470396650132938,8.476446926931708e-05,0.00037140766241959024,0.0005351471342962159,6.199329131280581,6.193641853318608
0.02,0.003125,160,True,2.971902464982122,5.70625,2.0010156400606225e-06,1.152698970187544e-06,5.074332006137207e-06,7.290882980152085e-06,2.0010156400606225e-06,1.152698970187544e-06,5.074332006137207e-06,7.290882980152085e-06,nan,nan
