model,harness,h,t_final,steps,runtime_sec,total_newton_iterations,max_position_constraint_norm,max_velocity_constraint_norm,final_position,final_velocity,final_orientation,final_angular_velocity,status,order_final_position,order_final_velocity,linf_position,linf_velocity,linf_acceleration,linf_multiplier,shard_csv,is_floor_row,order_linf_position,order_linf_velocity
single_pendulum,v047_asme_single_driven_absolute_fullva,0.1,1.0,10,3.03726989304414,30,1.3038263990916135e-09,5.727749860561367e-09,5.93986963074694e-10,2.4279208053626825e-09,3.851458066232749e-10,5.663253825849989e-10,ok,5.994037444518302,5.986016923633186,,,,,,,,
single_pendulum,v047_asme_single_driven_absolute_fullva,0.05,1.0,20,0.183454243990127,40,2.0298496012168174e-11,8.857095876522659e-11,9.31948357353618e-12,3.8305741019193064e-11,5.972039171019366e-12,9.896910257567836e-12,ok,6.005580144979225,-1.3087461679535926,,,,,,,,
single_pendulum,v047_asme_single_driven_absolute_fullva,0.025,1.0,40,0.3357889679609798,80,3.1677140399054624e-13,1.3837488587123367e-12,1.4505479251566241e-13,9.489333747433565e-11,9.358561909100751e-14,5.6862805477219025e-11,ok,3.7420564069249953,-2.8351065321120332,,,,,,,,
single_pendulum,v047_asme_single_driven_absolute_fullva,0.0125,1.0,80,0.4790159650146961,160,4.7314178469604135e-15,2.1850410971065953e-14,1.0840788167032406e-14,6.771545928671251e-10,5.953596167887913e-15,3.3889672738141067e-10,ok,-0.5451144627135043,-2.462264717287255,,,,,,,,
single_pendulum,v047_asme_single_driven_absolute_fullva,0.00625,1.0,160,1.1960779880173504,320,2.976636323915003e-15,3.575750878701143e-15,1.5818185440550714e-14,3.7316711556298e-09,9.403314162425933e-15,1.9863330903520907e-09,ok,3.5696282835574458,21.764602288358706,,,,,,,,
single_pendulum,v047_asme_single_driven_absolute_fullva,0.003125,1.0,320,1.864599192980677,320,2.4924445086331347e-15,4.940143340677237e-15,1.3322676295501878e-15,1.047382306668854e-15,1.54975493087911e-16,1.7763568394002505e-15,ok,nan,nan,,,,,,,,
double_pendulum,v029_double_revolute_gauss6_fullva,0.1,1.0,10,3.857992839999497,46,5.611003574294568e-07,3.8096441548123235e-05,4.5858833911600045e-05,0.00015610689486190326,,,ok,8.17931851701471,9.722003705347918,3.8448611052288584e-05,0.00021080892085567626,,,,,,
double_pendulum,v029_double_revolute_gauss6_fullva,0.05,1.0,20,5.791434680984821,81,2.4514686439905404e-08,5.371492967019145e-07,1.5819865604130887e-07,1.8484484865517765e-07,,,ok,6.990786078049272,6.964623729603127,1.175688950638687e-07,1.2709205843286497e-06,,,,,,
double_pendulum,v029_double_revolute_gauss6_fullva,0.025,1.0,40,12.15792629000498,160,3.98847428620526e-10,7.0696081367064455e-09,1.2438456363544124e-09,1.4799488338515e-09,,,ok,6.0088693963609225,6.0147280700127626,1.4197962805440056e-09,2.0181881055236772e-08,,,,,,
double_pendulum,v029_double_revolute_gauss6_fullva,0.0125,1.0,80,33.8762889149948,303,6.274939320078758e-12,1.0736775605720216e-10,1.931597161740187e-11,2.2889332924390326e-11,,,ok,5.9597484835345735,5.891967428412164,2.0895729591074996e-11,2.9887914365644974e-10,,,,,,
double_pendulum,v029_double_revolute_gauss6_fullva,0.00625,1.0,160,48.59322018496459,584,9.678636262399302e-14,1.6627109821623863e-12,3.103512496396685e-13,3.8545546417655037e-13,,,ok,3.7618434066976807,2.6475570314505377,3.275157922644212e-13,4.732214620162267e-12,,,,,,
double_pendulum,v029_double_revolute_gauss6_fullva,0.003125,1.0,320,90.02865976002067,1112,8.129683432677308e-15,2.1004058208947406e-14,2.2878407649261463e-14,6.151487202850774e-14,,,ok,nan,nan,1.7763568394002505e-14,8.970602038971265e-14,,,,,,
four_link,v048_gauss6_fullva_closed_loop,0.05,1.0,20,0.0400202099699527,108,5.358157725755101e-15,2.7399285433815333e-15,,,,,ok,,,8.881784197001252e-15,1.4876988529977098e-14,2.5579538487363607e-13,1.000444171950221e-11,four_link_5em02_3em02_1em02_6em03_3em03_2em03.csv,False,-0.4329594072761063,-1.2285315584338545
four_link,v048_gauss6_fullva_closed_loop,0.025,1.0,40,0.08552998304367065,200,5.929442378243653e-15,3.5241695285044423e-15,,,,,ok,,,1.199040866595169e-14,3.4861002973229915e-14,2.8421709430404007e-13,1.2505552149377763e-11,four_link_5em02_3em02_1em02_6em03_3em03_2em03.csv,False,-0.05246741989413554,0.29462074889162704
four_link,v048_gauss6_fullva_closed_loop,0.0125,1.0,80,0.161136239010375,370,6.119080544597637e-15,3.7257944230340286e-15,,,,,ok,,,1.2434497875801753e-14,2.842170943040401e-14,1.9539925233402755e-13,9.208633855450898e-12,four_link_5em02_3em02_1em02_6em03_3em03_2em03.csv,False,-0.0995356735509144,-0.37503943134692463
four_link,v048_gauss6_fullva_closed_loop,0.00625,1.0,160,0.29138970898929983,644,6.54659375185938e-15,5.632079877253412e-15,,,,,ok,,,1.3322676295501878e-14,3.68594044175552e-14,2.3803181647963356e-13,1.0800249583553523e-11,four_link_5em02_3em02_1em02_6em03_3em03_2em03.csv,False,0.17897014104531933,-0.03435150479077704
four_link,v048_gauss6_fullva_closed_loop,0.003125,1.0,320,0.5795129630132578,1284,8.86586205679969e-15,5.760763263371679e-15,,,,,ok,,,1.176836406102666e-14,3.774758283725532e-14,2.5934809855243657e-13,1.0800249583553523e-11,four_link_5em02_3em02_1em02_6em03_3em03_2em03.csv,False,nan,nan
four_link,v048_gauss6_fullva_closed_loop,0.0015625,1.0,640,1.1488303009537049,2564,7.667222220614796e-15,4.620672478066807e-15,,,,,ok,,,1.2434497875801753e-14,3.9968028886505635e-14,2.7711166694643907e-13,9.777068044058979e-12,four_link_5em02_3em02_1em02_6em03_3em03_2em03.csv,True,,
slider_crank,v048_gauss6_fullva_closed_loop,0.05,1.0,20,0.04857126501156017,106,4.803829457415913e-16,2.5210634151332353e-16,,,,,ok,,,5.828670879282072e-16,1.3600232051658168e-15,1.509903313490213e-14,1.8829382497642655e-13,slider_crank_5em02_3em02_1em02_6em03_3em03_2em03.csv,False,-0.5145731728297583,-0.08572987402588397
slider_crank,v048_gauss6_fullva_closed_loop,0.025,1.0,40,0.09991028695367277,203,8.95704567490961e-16,2.634238294802787e-16,,,,,ok,,,8.326672684688674e-16,1.4432899320127035e-15,2.5757174171303632e-14,2.788880237858393e-13,slider_crank_5em02_3em02_1em02_6em03_3em03_2em03.csv,False,0.04890960048094651,-0.38702312310924736
slider_crank,v048_gauss6_fullva_closed_loop,0.0125,1.0,80,0.1895696739666164,372,8.938433505597025e-16,2.98811882847776e-16,,,,,ok,,,8.049116928532385e-16,1.887379141862766e-15,2.0872192862952943e-14,2.3092638912203256e-13,slider_crank_5em02_3em02_1em02_6em03_3em03_2em03.csv,False,-0.0489096004809464,-0.23446525363702297
slider_crank,v048_gauss6_fullva_closed_loop,0.00625,1.0,160,0.3431742459652014,655,9.178804307469489e-16,4.528924524986921e-16,,,,,ok,,,8.326672684688674e-16,2.220446049250313e-15,2.2648549702353193e-14,2.717825964282383e-13,slider_crank_5em02_3em02_1em02_6em03_3em03_2em03.csv,False,-0.5525410230287788,-0.13750352374993496
slider_crank,v048_gauss6_fullva_closed_loop,0.003125,1.0,320,0.6817470589885488,1283,9.281930618368504e-16,4.599643149717886e-16,,,,,ok,,,1.2212453270876722e-15,2.4424906541753444e-15,3.019806626980426e-14,3.446132268436486e-13,slider_crank_5em02_3em02_1em02_6em03_3em03_2em03.csv,False,nan,nan
slider_crank,v048_gauss6_fullva_closed_loop,0.0015625,1.0,640,1.369596619042568,2563,9.500435109604041e-16,4.586254567285534e-16,,,,,ok,,,1.1379786002407855e-15,2.7755575615628914e-15,3.108624468950438e-14,3.7481129311345285e-13,slider_crank_5em02_3em02_1em02_6em03_3em03_2em03.csv,True,,
