model,method,t_end,h,status,error_reference,pos_final_error,vel_final_error,runtime_sec,avg_iterations,source_csv
single_pendulum,2021 public rA,3.0,0.01,ok,"public kinematics mode, h = 0.001",1.105002755963369e-10,6.01481824835148,0.298498039948754,3.736666666666667,ra2021_order_rows.csv
single_pendulum,2021 public rA,3.0,0.001,ok,"public kinematics mode, h = 0.001",1.100619595462149e-10,0.002545877157588694,1.726168008055538,1.8803333333333334,ra2021_order_rows.csv
single_pendulum,2021 public rA,3.0,0.0001,ok,"public kinematics mode, h = 0.001",1.1005729660951147e-10,0.5758083686214988,12.201117517077364,0.9992,ra2021_order_rows.csv
single_pendulum,2021 public rA (timing run),3.0,0.001,ok,none (timing row),nan,nan,9.89467491605319,1.8803333333333334,ra2021_public_timing_rows.csv
single_pendulum,2021 public reps,3.0,0.01,ok,"public kinematics mode, h = 0.001",1.1050049764094183e-10,6.014818248351818,0.4117361700627953,3.736666666666667,ra2021_order_rows.csv
single_pendulum,2021 public reps,3.0,0.001,ok,"public kinematics mode, h = 0.001",1.1006151545700504e-10,0.002545877157463461,2.6188654230209067,1.8803333333333334,ra2021_order_rows.csv
single_pendulum,2021 public reps,3.0,0.0001,ok,"public kinematics mode, h = 0.001",1.1006107136779519e-10,0.5758083686214835,20.12235050101299,0.9991666666666666,ra2021_order_rows.csv
single_pendulum,2021 public reps (timing run),3.0,0.001,ok,none (timing row),nan,nan,2.953751645050943,1.8803333333333334,ra2021_public_timing_rows.csv
single_pendulum,2021 public rp,3.0,0.01,ok,"public kinematics mode, h = 0.001",1.1040501846082407e-10,5.778784451544591,0.5526030790060759,3.8233333333333333,ra2021_order_rows.csv
single_pendulum,2021 public rp,3.0,0.001,ok,"public kinematics mode, h = 0.001",1.1005707456490654e-10,0.00021242069821003629,3.7053539670305327,1.9073333333333333,ra2021_order_rows.csv
single_pendulum,2021 public rp,3.0,0.0001,ok,"public kinematics mode, h = 0.001",1.1005640843109177e-10,0.5758316767491723,25.826645778026432,0.9995666666666667,ra2021_order_rows.csv
single_pendulum,2021 public rp (timing run),3.0,0.001,ok,none (timing row),nan,nan,4.109216463053599,1.9073333333333333,ra2021_public_timing_rows.csv
single_pendulum,Gauss6/FullVA,3.0,0.01,ok,analytic driven solution,1.4995461985903105e-14,9.082863950624981e-10,3.3401848459616303,2.0,gauss6_fullva_public_horizon_single_rows.csv
single_pendulum,Gauss6/FullVA,3.0,0.001,ok,analytic driven solution,7.869280847691828e-15,2.9996574304705472e-15,8.144448293955065,1.0,gauss6_fullva_public_horizon_single_rows.csv
single_pendulum,Gauss6/FullVA,3.0,0.0001,ok,analytic driven solution,2.5841260732974822e-14,7.012005498302777e-15,85.58841725206003,1.0,gauss6_fullva_public_horizon_single_rows.csv
double_pendulum,2021 public rA (timing run),3.0,0.001,ok,none (timing row),nan,nan,2.700848160078749,1.772,ra2021_public_timing_rows.csv
double_pendulum,2021 public reps (timing run),3.0,0.001,ok,none (timing row),nan,nan,4.902654498000629,1.772,ra2021_public_timing_rows.csv
double_pendulum,2021 public rp (timing run),3.0,0.001,ok,none (timing row),nan,nan,6.321827861014754,1.8826666666666667,ra2021_public_timing_rows.csv
four_link,2021 public rA,3.0,0.01,ok,"public kinematics mode, h = 0.001",1.9930412875623915e-10,0.1075472540624034,0.6195845979964361,3.5433333333333334,ra2021_order_rows.csv
four_link,2021 public rA,3.0,0.001,ok,"public kinematics mode, h = 0.001",4.654054919228656e-13,0.010681969239533018,4.421862978953868,1.9756666666666667,ra2021_order_rows.csv
four_link,2021 public rA,3.0,0.0001,ok,"public kinematics mode, h = 0.001",2.219557870830613e-12,0.0010674680258153657,31.66976316901855,1.0005,ra2021_order_rows.csv
four_link,2021 public rA (timing run),3.0,0.001,ok,none (timing row),nan,nan,5.903306939988397,1.9756666666666667,ra2021_public_timing_rows.csv
